GeneID	GSM6255117	GSM6255118	GSM6255120	GSM6255121	GSM6255122	GSM6255123	GSM6255124
100287102	2	1	1	0	1	0	0
653635	410	453	585	97	82	66	83
102466751	11	9	15	0	0	1	0
107985730	0	0	0	1	0	0	3
100302278	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0
100996442	39	71	48	4	7	1	5
729737	1396	2098	1715	45	34	18	120
102725121	1	3	1	0	0	0	0
102723897	420	456	584	127	108	79	114
102465909	4	2	5	0	0	0	0
107985721	0	0	0	2	2	0	1
112268260	10	31	8	5	5	3	6
729759	1	1	1	0	0	0	0
100132287	340	465	470	10	9	6	23
105378947	10	10	10	1	1	2	1
101928626	0	0	1	0	0	0	0
113219467	8636	13333	8506	3112	6215	3705	6456
81399	4	11	7	1	2	1	0
100133331	222	291	285	4	6	4	13
107984841	32	39	47	0	1	1	2
107984847	33	73	59	1	1	1	5
107984849	7	29	33	0	0	0	4
100288069	7	21	18	0	0	1	2
105378580	3	9	4	15	6	8	7
400728	3	3	14	30	16	17	18
79854	5	6	7	6	7	5	0
643837	439	653	446	304	281	178	171
107984850	0	0	0	3	1	0	4
284593	1	2	0	2	0	1	1
284600	0	0	0	0	0	0	0
100130417	2	0	2	0	3	2	0
107985728	0	1	1	1	0	1	0
148398	313	334	233	106	81	66	75
26155	2673	2794	2126	1016	862	747	743
339451	87	108	118	21	18	8	20
84069	1	0	71	0	0	1	5
84808	1	0	9	0	0	0	2
57801	77	80	2930	19	12	684	889
9636	4927	2430	162076	1098	1787	52615	69642
375790	2678	3509	7413	571	610	734	855
100288175	17	14	11	23	43	33	26
112267874	3	2	3	4	5	9	4
105378948	11	10	8	18	28	17	15
401934	0	0	0	0	0	0	0
54991	231	274	214	116	120	102	96
254099	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0
254173	0	0	0	0	0	0	0
8784	8	16	7	6	7	5	2
7293	208	275	94	12	24	4	20
51150	11048	13434	11947	7597	8261	5663	6336
126792	2049	2258	1766	1238	1307	828	910
388581	4	11	6	2	1	0	0
118424	1719	2193	1357	2207	2292	1522	1687
101928895	2	3	3	0	0	0	0
6339	1	3	8	3	0	0	1
116983	375	484	222	290	249	206	239
102465434	0	0	0	0	0	0	0
109623456	1	1	0	0	0	0	0
126789	461	530	255	508	580	299	289
54973	1281	1371	1166	955	732	511	612
102465435	3	4	2	1	1	0	0
80772	862	988	612	501	520	264	351
83756	6	12	1	1	3	2	1
1855	689	770	310	322	306	213	221
102466740	0	1	0	0	0	0	0
54587	91	129	121	44	50	20	70
54998	2465	2544	1742	3110	3520	3120	3291
81669	1277	1798	1690	613	743	634	798
148413	412	530	546	525	433	337	343
55052	1325	1701	1379	1898	2295	1867	2229
107984868	0	0	0	0	0	0	0
441869	0	0	0	0	0	0	0
105378585	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0
102724312	0	1	0	0	0	1	0
107985729	0	1	0	0	0	0	0
64856	30	42	38	89	53	41	55
219293	25	22	12	4	5	4	1
83858	829	973	608	90	103	69	83
55210	1058	1196	649	329	282	181	196
339453	7	6	9	1	0	0	0
29101	2362	3661	1607	4504	4574	3171	3884
643988	747	995	497	497	538	357	446
105378586	57	80	45	46	53	31	34
142678	418	523	274	248	165	96	112
8510	47	44	52	7	13	3	3
984	1394	1625	2006	161	142	92	165
728661	1213	2022	1207	637	318	271	374
8511	8	5	3	3	12	0	2
728642	866	1032	1189	141	94	53	104
9906	297	509	265	186	107	91	104
112268218	316	344	1037	392	484	765	1099
65220	4676	5611	19645	5918	7328	11448	15738
2782	14508	19702	19397	10615	8518	8006	9048
105378949	6	9	13	5	5	8	7
163688	0	1	0	0	0	0	0
339456	13	7	8	22	22	12	15
85452	0	0	1	0	0	0	0
107984872	0	0	0	0	0	0	0
105378589	0	0	0	0	0	0	0
2563	0	0	0	1	0	0	0
105378590	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0
5590	69	125	31	105	101	65	91
100506504	0	4	1	0	0	0	2
199990	791	892	624	1029	1039	903	1044
112268219	40	51	44	15	14	5	11
105378593	0	0	0	0	2	0	1
6497	2032	2688	1980	931	660	370	622
79906	62	60	47	25	27	24	21
100129534	3	10	4	0	0	0	7
11079	3940	5119	4156	6667	6926	6279	7696
5192	630	791	636	749	658	543	597
9651	21	27	26	19	26	27	27
55229	694	844	687	611	586	430	458
388585	1	0	0	0	0	0	0
115110	297	416	533	473	718	442	648
8764	2693	3393	5431	3511	5796	3470	5431
100996583	2	2	1	9	11	6	14
127281	2834	3293	1374	3068	6363	2816	4192
79258	392	428	171	407	750	286	534
105378597	0	0	0	0	1	0	0
100287898	0	0	0	1	4	0	0
105378603	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0
440556	0	0	2	0	0	0	3
63976	0	0	0	0	0	0	4
100422968	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0
107984909	1	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0
105378604	0	1	5	0	4	7	3
27237	14	16	13	130	45	34	63
1953	1047	891	711	1395	1542	850	1367
105378608	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0
105378607	0	0	0	3	3	3	3
127262	1491	2213	1107	3348	3201	1645	2006
49856	419	508	458	698	700	580	650
7161	18	23	6	16	9	4	8
105378610	0	1	0	3	1	3	0
105378609	0	0	0	0	0	0	0
57212	341	492	411	352	307	261	314
148870	0	0	0	0	0	0	0
388588	13	18	17	56	106	79	123
57470	1588	1905	1857	1317	1042	687	765
9731	707	1070	938	153	104	91	180
1677	160	189	161	75	95	81	100
107984910	9	6	0	0	0	1	3
339448	653	906	817	692	835	804	1112
100133612	21	18	15	7	15	22	14
728716	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0
55966	0	0	0	2	4	0	2
105376680	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0
261734	209	266	100	51	31	20	41
8514	1449	2941	504	3378	3080	2026	2802
26038	0	0	0	0	0	0	0
105376687	0	0	0	0	0	0	0
6146	5871	8226	4857	11611	10371	9878	11063
107985733	26	38	10	43	51	30	38
102724450	5	5	2	11	4	7	6
388591	44	53	23	28	31	13	24
23463	2267	3625	1842	2526	2207	1681	1809
148645	4	5	4	20	15	7	12
390992	0	0	0	0	0	0	0
387509	374	441	207	57	72	70	64
11332	894	1238	840	1341	1195	1451	1393
54626	18	30	6	167	190	119	197
83715	15	7	6	9	6	2	10
100422975	0	0	0	0	0	0	0
8718	79	55	76	2	5	1	2
57449	312	341	351	52	116	27	97
79707	359	543	365	77	78	50	76
80835	0	0	0	0	0	0	0
107984912	0	0	0	0	0	0	0
3104	929	963	853	483	402	228	222
9903	1966	2030	2461	1270	1006	499	647
107984913	5	5	2	1	5	1	0
148479	443	693	591	401	329	208	253
90326	1006	1113	1494	525	492	636	774
55735	1595	2153	1497	770	614	487	621
100505887	0	0	0	0	0	0	0
110841581	4	5	4	6	2	0	0
23261	413	563	386	820	1083	959	1143
105376692	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0
101928836	0	1	0	0	0	0	0
105376691	0	0	0	0	0	0	0
105376689	0	0	0	0	0	0	0
9341	3465	5602	3503	4542	4707	3772	5009
8863	169	343	106	75	86	29	44
10911	6	2	1	5	25	9	14
3604	484	195	120	113	385	340	319
11315	3736	4840	2264	6692	8536	7371	8293
54206	239	372	162	285	258	152	236
107984915	2	3	1	4	1	1	0
102724539	0	0	0	0	0	0	0
105376695	0	0	0	0	0	0	0
50651	14	23	5	16	12	9	17
473	876	1334	4830	362	279	546	1204
102724552	3	1	7	0	1	2	1
106632271	0	0	0	0	0	0	0
2023	62186	71013	41881	35624	44916	42284	37822
102465436	6	75	46	0	1	1	2
100505975	7	9	6	10	16	8	8
112268261	0	0	0	0	0	0	0
765	0	0	0	0	0	0	0
155184	0	0	0	0	0	0	0
6518	1796	1711	2429	1720	5334	2553	4587
80045	84	107	54	26	16	16	30
106614088	92	154	195	35	18	8	25
407040	0	1	4	1	0	0	0
102724571	24	15	12	59	47	21	44
9563	2530	3218	3142	1464	1170	1043	1543
80176	3020	4035	6442	1502	1971	4339	4702
100506022	16	11	7	30	14	13	14
84275	571	888	477	1002	954	760	877
199953	502	569	642	140	146	146	187
107985734	16	15	12	1	3	0	5
105376712	0	0	0	0	0	0	0
5293	2146	3117	3177	995	682	716	979
644997	18	19	62	7	5	7	23
101929074	5	13	3	15	11	11	12
22883	4208	6321	6371	1800	1117	1070	1530
56998	301	412	208	806	980	661	755
105376717	38	34	33	83	121	84	88
